,Country,Region,Score Average,GDP per Capita Average,Social Support Average,Healthy Life Expectancy Average,Generosity Average,Freedom to Make Life Choices Average,Perceptions of Corruption Average
0,Finland,Western Europe,7.7365666950000005,1.3166666666666667,1.559508635,0.9404238016666667,0.171556814,0.6464389133333333,0.42128575399999996
1,Norway,Western Europe,7.545333305333333,1.4666666666666668,1.5530575003333331,0.965690633,0.28166169533333335,0.6530669613333333,0.3717001893333333
2,Denmark,Western Europe,7.6001999473333335,1.3616666666666666,1.5554830673333333,0.947777522,0.2595977986666667,0.6466799656666666,0.43775344266666666
3,Iceland,Western Europe,7.497833304,1.3553333333333333,1.6051891623333334,0.9802811353333333,0.3564434093333333,0.643326916,0.13351359066666665
4,Switzerland,Western Europe,7.5089666023333335,1.4306666666666665,1.5158011356666667,1.0065110616666668,0.2626852513333333,0.6203181566666668,0.3693153003333333
5,Netherlands,Western Europe,7.459300074333332,1.3726666666666665,1.4912153116666664,0.9508917813333335,0.3304391896666667,0.6028754933333333,0.320523254
6,Canada,North America and ANZ,7.279366669999999,1.3416666666666668,1.490797301,0.9858339816666666,0.29584297333333337,0.6270093756666667,0.3169006186666667
7,New Zealand,North America and ANZ,7.310200041333334,1.2796666666666667,1.5484061266666667,0.9700460996666666,0.3402420703333333,0.633596636,0.41008942533333337
8,Sweden,Western Europe,7.336833296333334,1.3656666666666666,1.4737825673333331,0.9694901536666668,0.274942631,0.6277659003333333,0.39935545699999997
9,Australia,North America and ANZ,7.240933259333333,1.3506666666666665,1.5327154226666668,0.9895358946666667,0.3393245376666667,0.6086257310000001,0.3093321396666667
10,United Kingdom,Western Europe,7.136166745666666,1.2736666666666665,1.4762816576666669,0.9532333599999999,0.327811147,0.47972288566666665,0.227533882
11,Austria,Western Europe,7.2263999813333335,1.3526666666666667,1.4721483083333335,0.969311176,0.2471699213333333,0.5841229593333334,0.24375204633333328
12,Costa Rica,Latin America and Caribbean,7.120133292999999,1.018,1.4249512036666667,0.906545112,0.13942210366666666,0.611672581,0.096787364
13,Ireland,Western Europe,7.030566644,1.465,1.5355321443333334,0.9502235649999999,0.30014233166666665,0.5725933129999999,0.32981108733333336
14,Germany,Western Europe,7.008599980666666,1.351,1.432181248,0.9400382669999999,0.262012568,0.5484247106666666,0.2847874306666667
15,Belgium,Western Europe,6.904500039333333,1.3346666666666664,1.4618925293333334,0.948300383,0.16498871966666664,0.518601807,0.219574684
16,Luxembourg,Western Europe,7.079166730333334,1.5869999999999997,1.4621761396666668,0.9648142283333333,0.19531797333333334,0.589379015,0.3346804896666667
17,United States,North America and ANZ,6.905866663666667,1.409666666666667,1.4442622353333334,0.841539337,0.289714353,0.5118694149999999,0.13776158033333333
18,Israel,Middle East and North Africa,7.027200040333334,1.2926666666666666,1.4724189246666668,0.9733509816666667,0.29395393200000003,0.44156649233333334,0.15129948333333332
19,United Arab Emirates,Middle East and North Africa,6.796600031666666,1.8983333333333334,1.112390331,0.760938146,0.2428853266666667,0.511645367,0.201106759
