,Country,Regional indicator,Score 2017,GDP per capita 2017,Social support 2017,Healthy life expectancy 2017,Freedom to make life choices 2017,Generosity 2017,Perceptions of corruption 2017,Score 2018,GDP per capita 2018,Social support 2018,Healthy life expectancy 2018,Freedom to make life choices 2018,Generosity 2018,Perceptions of corruption 2018,Score 2019,GDP per capita 2019,Social support 2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019
0,Finland,Western Europe,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262
1,Norway,Western Europe,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,7.487999916000001,1.42420733,1.4951725009999999,1.0080718990000002,0.670200884,0.287985086,0.43410056799999996
2,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,7.645599842,1.326948524,1.5034492019999999,0.979332566,0.665039897,0.24279339600000002,0.49526032799999997
3,Iceland,Western Europe,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,7.504499912000001,1.326501608,1.5475674869999998,1.000843406,0.661980748,0.362330228,0.14454077199999998
4,Switzerland,Western Europe,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,7.559899807000001,1.39077425,1.4724034069999998,1.040533185,0.62895447,0.269055754,0.407945901
5,Netherlands,Western Europe,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,7.448900223,1.338946342,1.463645935,0.9756753440000001,0.61362648,0.336317569,0.368569762
6,Canada,North America and ANZ,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,7.23210001,1.301647663,1.4353919030000002,1.022501945,0.644028127,0.28152892,0.35170185600000003
7,New Zealand,North America and ANZ,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,7.2996001239999995,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.46126827600000003
8,Sweden,Western Europe,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,7.353499889,1.322235227,1.4333477019999998,0.9864704609999999,0.6502977010000001,0.272827893,0.442066371
9,Australia,North America and ANZ,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419
10,United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.37343344100000003,0.322601646
